,AIC,BIC,MAE
SARIMA,13595.440763055609,13608.540174398802,37774.80926092997
Holt-Winters,11909.11764376595,11979.33462625468,43722.59030842038
VAR,105.51901288041277,107.80425660569047,46515.36599022563
